Origin 3-Digit,Dest 3-Digit,Origin Zip,Dest Zip,Lane Volume,Warp Rate,Cheapest Non-Warp Rate,Cheapest Non-Warp Carrier
750,782,75041,78251,627,$240.5,$159.52,SOUTHWESTERN MOTOR TRANSPORT INC
906,920,90660,92064,626,,$156.24,GlovaLink
773,331,77396,33182,625,$245.64,$245.76,AAA COOPER TRANSPORTATION
906,113,90670,11378,619,$439.74,$544.39,STG LTL formerly Frontline Freight
330,330,33010,33010,618,$133.52,$152.45,AAA COOPER TRANSPORTATION
750,752,75050,75235,618,$133.52,$132.84,Vocar Transportation
917,941,91761,94124,617,$266.06,$351.77,TOTAL TRANSPORTATION DISTRIBUTION
917,305,91761,30518,616,$407.59,$419.41,XPO Logistics
281,331,28110,33178,616,$241.52,$274.76,AAA COOPER TRANSPORTATION
917,282,91752,28206,614,$380.89,$332.95,Forward
337,331,33714,33182,611,$200.77,$157.94,Specialized Freight Carriers
917,221,91761,22191,610,$399.01,$482.87,STG LTL formerly Frontline Freight
926,782,92618,78219,610,$404.06,$348.55,XPO Logistics
530,601,53022,60101,610,$253.09,$133.61,TAX AIRFREIGHT
87,928,8701,92880,608,$558.48,$423.71,STG LTL formerly Frontline Freight
85,331,8520,33178,607,$278.89,$271.01,Specialized Freight Carriers
980,980,98072,98002,606,$139.81,$174.24,PENINSULA TRUCK LINES
917,847,91761,84790,603,$303.89,$282.38,FedEx Economy
900,920,90058,92064,603,,$156.24,GlovaLink
906,925,90670,92507,603,$134.57,$125.52,GlovaLink
331,606,33133,60606,603,$272.69,$331.43,XPO Logistics
530,600,53022,60007,603,$253.09,$133.61,TAX AIRFREIGHT
70,300,7026,30043,602,$220.64,$298.86,XPO Logistics
906,761,90660,76119,602,$402.39,$388.8,Mountain Valley Express
601,531,60176,53132,599,$268.07,$161.48,Forward
923,600,92337,60010,599,$325.71,$341.11,XPO Logistics
923,945,92311,94533,599,$384.82,$338.15,XPO Logistics
920,331,92078,33182,599,,$474.95,STG LTL formerly Frontline Freight
272,333,27263,33317,597,$259.25,$305.9,AAA COOPER TRANSPORTATION
